prompt,answer,reasoning
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 9.228
  Log Sigma (sigma): 0.527
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 19980.306 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 2:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 5.15
  Log Sigma (sigma): 1.188
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 37.772 within the provided distribution?
Answer:
<answer>10.0</answer>

Example 3:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 7.097
  Log Sigma (sigma): 1.085
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 4862.942 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 4:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 4.261
  Log Sigma (sigma): 1.227
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 345.288 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 5:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 9.537
  Log Sigma (sigma): 1.347
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 316899.661 within the provided distribution?
Answer:
<answer>99.0</answer>


## Consider the following distribution:


  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 4.0
  Log Sigma (sigma): 0.5
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  

## Here is your question:
Question:
What is the percentile of the value 82.996 within the provided distribution?
Answer:
",95.0,<answer>95.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 9.228
  Log Sigma (sigma): 0.527
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 19980.306 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 2:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 5.15
  Log Sigma (sigma): 1.188
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 37.772 within the provided distribution?
Answer:
<answer>10.0</answer>

Example 3:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 7.097
  Log Sigma (sigma): 1.085
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 4862.942 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 4:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 4.261
  Log Sigma (sigma): 1.227
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 345.288 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 5:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 9.537
  Log Sigma (sigma): 1.347
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 316899.661 within the provided distribution?
Answer:
<answer>99.0</answer>


## Consider the following distribution:


  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 4.0
  Log Sigma (sigma): 0.5
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  

## Here is your question:
Question:
What is the percentile of the value 82.996 within the provided distribution?
Answer:
",90.0,<answer>90.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 9.228
  Log Sigma (sigma): 0.527
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 19980.306 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 2:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 5.15
  Log Sigma (sigma): 1.188
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 37.772 within the provided distribution?
Answer:
<answer>10.0</answer>

Example 3:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 7.097
  Log Sigma (sigma): 1.085
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 4862.942 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 4:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 4.261
  Log Sigma (sigma): 1.227
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 345.288 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 5:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 9.537
  Log Sigma (sigma): 1.347
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 316899.661 within the provided distribution?
Answer:
<answer>99.0</answer>


## Consider the following distribution:


  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 4.0
  Log Sigma (sigma): 0.5
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  

## Here is your question:
Question:
What is the percentile of the value 82.996 within the provided distribution?
Answer:
",95.0,<answer>95.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 9.228
  Log Sigma (sigma): 0.527
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 19980.306 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 2:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 5.15
  Log Sigma (sigma): 1.188
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 37.772 within the provided distribution?
Answer:
<answer>10.0</answer>

Example 3:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 7.097
  Log Sigma (sigma): 1.085
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 4862.942 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 4:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 4.261
  Log Sigma (sigma): 1.227
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 345.288 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 5:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 9.537
  Log Sigma (sigma): 1.347
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 316899.661 within the provided distribution?
Answer:
<answer>99.0</answer>


## Consider the following distribution:


  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 4.0
  Log Sigma (sigma): 0.5
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  

## Here is your question:
Question:
What is the percentile of the value 82.996 within the provided distribution?
Answer:
",95.0,<answer>95.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 9.228
  Log Sigma (sigma): 0.527
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 19980.306 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 2:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 5.15
  Log Sigma (sigma): 1.188
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 37.772 within the provided distribution?
Answer:
<answer>10.0</answer>

Example 3:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 7.097
  Log Sigma (sigma): 1.085
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 4862.942 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 4:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 4.261
  Log Sigma (sigma): 1.227
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 345.288 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 5:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 9.537
  Log Sigma (sigma): 1.347
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 316899.661 within the provided distribution?
Answer:
<answer>99.0</answer>


## Consider the following distribution:


  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 4.0
  Log Sigma (sigma): 0.5
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  

## Here is your question:
Question:
What is the percentile of the value 103.723 within the provided distribution?
Answer:
",95.0,<answer>95.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 9.228
  Log Sigma (sigma): 0.527
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 19980.306 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 2:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 5.15
  Log Sigma (sigma): 1.188
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 37.772 within the provided distribution?
Answer:
<answer>10.0</answer>

Example 3:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 7.097
  Log Sigma (sigma): 1.085
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 4862.942 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 4:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 4.261
  Log Sigma (sigma): 1.227
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 345.288 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 5:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 9.537
  Log Sigma (sigma): 1.347
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 316899.661 within the provided distribution?
Answer:
<answer>99.0</answer>


## Consider the following distribution:


  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 4.0
  Log Sigma (sigma): 0.5
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  

## Here is your question:
Question:
What is the percentile of the value 103.723 within the provided distribution?
Answer:
",95.0,<answer>95.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 9.228
  Log Sigma (sigma): 0.527
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 19980.306 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 2:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 5.15
  Log Sigma (sigma): 1.188
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 37.772 within the provided distribution?
Answer:
<answer>10.0</answer>

Example 3:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 7.097
  Log Sigma (sigma): 1.085
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 4862.942 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 4:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 4.261
  Log Sigma (sigma): 1.227
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 345.288 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 5:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 9.537
  Log Sigma (sigma): 1.347
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 316899.661 within the provided distribution?
Answer:
<answer>99.0</answer>


## Consider the following distribution:


  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 4.0
  Log Sigma (sigma): 0.5
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  

## Here is your question:
Question:
What is the percentile of the value 103.723 within the provided distribution?
Answer:
",95.0,<answer>95.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 9.228
  Log Sigma (sigma): 0.527
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 19980.306 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 2:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 5.15
  Log Sigma (sigma): 1.188
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 37.772 within the provided distribution?
Answer:
<answer>10.0</answer>

Example 3:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 7.097
  Log Sigma (sigma): 1.085
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 4862.942 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 4:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 4.261
  Log Sigma (sigma): 1.227
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 345.288 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 5:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 9.537
  Log Sigma (sigma): 1.347
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 316899.661 within the provided distribution?
Answer:
<answer>99.0</answer>


## Consider the following distribution:


  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 4.0
  Log Sigma (sigma): 0.5
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  

## Here is your question:
Question:
What is the percentile of the value 103.723 within the provided distribution?
Answer:
",95.0,<answer>95.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 9.228
  Log Sigma (sigma): 0.527
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 19980.306 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 2:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 5.15
  Log Sigma (sigma): 1.188
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 37.772 within the provided distribution?
Answer:
<answer>10.0</answer>

Example 3:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 7.097
  Log Sigma (sigma): 1.085
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 4862.942 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 4:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 4.261
  Log Sigma (sigma): 1.227
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 345.288 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 5:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 9.537
  Log Sigma (sigma): 1.347
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 316899.661 within the provided distribution?
Answer:
<answer>99.0</answer>


## Consider the following distribution:


  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 4.0
  Log Sigma (sigma): 0.5
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  

## Here is your question:
Question:
What is the percentile of the value 103.723 within the provided distribution?
Answer:
",95.0,<answer>95.0</answer>
"
## You are an expert on statistics. Your task is to estimate the percentile of a number within a specific distribution. Answer with just a numerical response from 0 to 100. Make sure your final answer is enclosed by xml tags <answer> and </answer>

## Here are some examples to help you understand the task:


Example 1:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 9.228
  Log Sigma (sigma): 0.527
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 19980.306 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 2:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 5.15
  Log Sigma (sigma): 1.188
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 37.772 within the provided distribution?
Answer:
<answer>10.0</answer>

Example 3:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 7.097
  Log Sigma (sigma): 1.085
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 4862.942 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 4:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 4.261
  Log Sigma (sigma): 1.227
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 345.288 within the provided distribution?
Answer:
<answer>90.0</answer>

Example 5:
Distribution:

  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 9.537
  Log Sigma (sigma): 1.347
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  
Question:
What is the percentile of 316899.661 within the provided distribution?
Answer:
<answer>99.0</answer>


## Consider the following distribution:


  Distribution Type: Log-Normal Distribution
  Characteristics: This distribution models values that are the result of the multiplicative product of many independent random variables, such as income levels, stock prices, or city sizes.
  Log Mean (mu): 4.0
  Log Sigma (sigma): 0.5
  These parameters mean that the natural logarithm of the values follows a normal distribution with the specified mean and standard deviation.
  

## Here is your question:
Question:
What is the percentile of the value 103.723 within the provided distribution?
Answer:
",95.0,<answer>95.0</answer>
